chicken, ,coke,Curry,prawn,,,,
chicken,egg curry,N.veg Biryani,,,,,,
Special Fried Rice,Curry,,,,,,,
Plain Rice,chicken, ,Special Fried Rice,,,,,
 ,coke,Special Fried Rice,Curry,N.veg Biryani,,,,
chicken,egg curry,Special Fried Rice,Curry,prawn,,,,
egg curry, ,Special Fried Rice,Curry,N.veg Biryani,Lamb,,,
egg curry,coke,,,,,,,
egg curry, ,Curry,N.veg Biryani,prawn,Lamb,,,
Plain Rice,chicken,egg curry,Special Fried Rice,prawn,,,,
Plain Rice,chicken,coke,Lamb,,,,,
Plain Rice,chicken,egg curry,Special Fried Rice,Curry,N.veg Biryani,Lamb,,
Plain Rice,chicken, ,prawn,,,,,
coke,Special Fried Rice,Curry,N.veg Biryani,prawn,Lamb,,,
chicken,egg curry, ,Special Fried Rice,prawn,Lamb,,,
Plain Rice,chicken, ,Special Fried Rice,N.veg Biryani,,,,
Plain Rice, ,coke,Special Fried Rice,Curry,Lamb,,,
Plain Rice,chicken,Curry,,,,,,
 ,Special Fried Rice,Curry,,,,,,
egg curry, ,Curry,Lamb,,,,,
egg curry, ,Curry,N.veg Biryani,,,,,
Plain Rice,coke,Lamb,,,,,,
coke,Special Fried Rice,prawn,,,,,,
egg curry,Special Fried Rice,Curry,Lamb,,,,,
Plain Rice,chicken, ,coke,Special Fried Rice,Lamb,,,
 ,coke,Special Fried Rice,N.veg Biryani,,,,,
Plain Rice,egg curry,coke,Special Fried Rice,,,,,
chicken,egg curry, ,Special Fried Rice,N.veg Biryani,,,,
Plain Rice,egg curry,coke,Special Fried Rice,N.veg Biryani,Lamb,,,
chicken,egg curry, ,Lamb,,,,,
Plain Rice,coke,Curry,Lamb,,,,,
chicken, ,Special Fried Rice,Curry,prawn,,,,
chicken, ,Special Fried Rice,Curry,,,,,
Plain Rice,Special Fried Rice,Curry,prawn,,,,,
Plain Rice,egg curry,Special Fried Rice,,,,,,
Plain Rice, ,,,,,,,
chicken,egg curry,Special Fried Rice,prawn,,,,,
Plain Rice,N.veg Biryani,,,,,,,
Plain Rice,egg curry,Special Fried Rice,Curry,prawn,Lamb,,,
 ,coke,Lamb,,,,,,
chicken, ,N.veg Biryani,Lamb,,,,,
egg curry, ,Special Fried Rice,Curry,N.veg Biryani,Lamb,,,
Plain Rice,chicken, ,Special Fried Rice,N.veg Biryani,prawn,Lamb,,
Plain Rice,chicken,Curry,N.veg Biryani,,,,,
Plain Rice,egg curry, ,coke,Special Fried Rice,N.veg Biryani,Lamb,,
chicken,egg curry, ,Special Fried Rice,,,,,
chicken,egg curry,coke,Lamb,,,,,
Plain Rice,chicken,egg curry, ,coke,Special Fried Rice,Curry,Lamb,
Plain Rice,chicken,egg curry,coke,prawn,Lamb,,,
chicken,egg curry, ,Curry,N.veg Biryani,prawn,,,
 ,coke,Special Fried Rice,N.veg Biryani,prawn,,,,
egg curry,coke,Special Fried Rice,Curry,N.veg Biryani,Lamb,,,
Plain Rice,chicken,coke,N.veg Biryani,,,,,
Plain Rice,egg curry, ,prawn,Lamb,,,,
chicken,coke,Special Fried Rice,N.veg Biryani,Lamb,,,,
chicken, ,coke,N.veg Biryani,,,,,
chicken,coke,Special Fried Rice,Curry,N.veg Biryani,Lamb,,,
 ,Curry,N.veg Biryani,,,,,,
egg curry,Curry,N.veg Biryani,prawn,Lamb,,,,
Plain Rice,chicken, ,Special Fried Rice,Curry,N.veg Biryani,prawn,,
Plain Rice,chicken, ,coke,Special Fried Rice,N.veg Biryani,,,
 ,coke,Curry,,,,,,
egg curry,prawn,,,,,,,
chicken, ,coke,N.veg Biryani,prawn,Lamb,,,
egg curry,Curry,N.veg Biryani,,,,,,
Plain Rice,chicken,egg curry,Curry,N.veg Biryani,,,,
chicken,egg curry,coke,Lamb,,,,,
chicken,egg curry,coke,Special Fried Rice,Curry,Lamb,,,
Plain Rice,chicken,egg curry,Curry,prawn,Lamb,,,
egg curry,coke,Special Fried Rice,Curry,Lamb,,,,
Plain Rice,egg curry,coke,N.veg Biryani,prawn,Lamb,,,
Plain Rice,chicken,coke,Special Fried Rice,Curry,N.veg Biryani,Lamb,,
Plain Rice,chicken,egg curry, ,coke,Special Fried Rice,Lamb,,
Plain Rice,Curry,Lamb,,,,,,
chicken,egg curry, ,Special Fried Rice,prawn,,,,
Plain Rice,chicken,egg curry,coke,Curry,N.veg Biryani,,,
Plain Rice,chicken,egg curry,Special Fried Rice,N.veg Biryani,prawn,,,
chicken,N.veg Biryani,,,,,,,
Plain Rice,egg curry, ,coke,N.veg Biryani,prawn,,,
coke,Curry,,,,,,,
Plain Rice, ,Curry,prawn,Lamb,,,,
Plain Rice,Special Fried Rice,prawn,Lamb,,,,,
Plain Rice, ,coke,Curry,N.veg Biryani,prawn,,,
Plain Rice,egg curry,,,,,,,
chicken,egg curry, ,prawn,,,,,
 ,Curry,prawn,,,,,,
Special Fried Rice,Curry,N.veg Biryani,,,,,,
Special Fried Rice,Curry,,,,,,,
Plain Rice,chicken,egg curry,coke,Curry,N.veg Biryani,,,
Plain Rice, ,Special Fried Rice,Curry,N.veg Biryani,prawn,Lamb,,
egg curry,coke,Special Fried Rice,Curry,N.veg Biryani,,,,
chicken, ,N.veg Biryani,Lamb,,,,,
Plain Rice,chicken,coke,Special Fried Rice,Curry,N.veg Biryani,prawn,,
egg curry, ,coke,N.veg Biryani,prawn,,,,
chicken,egg curry, ,coke,N.veg Biryani,prawn,,,
egg curry, ,,,,,,,
Plain Rice,egg curry,coke,Curry,N.veg Biryani,,,,
Plain Rice,N.veg Biryani,,,,,,,
chicken, ,,,,,,,
Plain Rice, ,coke,Lamb,,,,,
Plain Rice, ,coke,Special Fried Rice,N.veg Biryani,prawn,,,
 ,N.veg Biryani,,,,,,,
Plain Rice,egg curry,coke,Special Fried Rice,N.veg Biryani,prawn,,,
Plain Rice,chicken,egg curry,coke,Special Fried Rice,Curry,Lamb,,
chicken, ,coke,Special Fried Rice,Lamb,,,,
Plain Rice,Lamb,,,,,,,
coke,prawn,Lamb,,,,,,
Plain Rice,Special Fried Rice,Lamb,,,,,,
chicken,egg curry, ,coke,Special Fried Rice,Curry,Lamb,,
Plain Rice,chicken,egg curry, ,coke,Special Fried Rice,,,
Plain Rice,chicken,Special Fried Rice,,,,,,
Plain Rice,prawn,Lamb,,,,,,
egg curry,Curry,,,,,,,
Plain Rice,coke,Special Fried Rice,Curry,N.veg Biryani,,,,
Plain Rice,chicken, ,coke,N.veg Biryani,prawn,,,
Special Fried Rice,N.veg Biryani,Lamb,,,,,,
Special Fried Rice,N.veg Biryani,,,,,,,
Plain Rice, ,coke,Lamb,,,,,
egg curry,Lamb,,,,,,,
 ,Curry,N.veg Biryani,Lamb,,,,,
egg curry,Special Fried Rice,Lamb,,,,,,
Plain Rice,coke,Curry,N.veg Biryani,prawn,Lamb,,,
Plain Rice,chicken,egg curry,coke,Special Fried Rice,Curry,N.veg Biryani,prawn,
chicken, ,coke,N.veg Biryani,Lamb,,,,
Plain Rice,coke,Curry,prawn,,,,,
 ,coke,,,,,,,
egg curry,coke,,,,,,,
Plain Rice,egg curry, ,coke,N.veg Biryani,Lamb,,,
Plain Rice,egg curry,Curry,prawn,,,,,
chicken, ,coke,Special Fried Rice,N.veg Biryani,prawn,Lamb,,
egg curry,Curry,Lamb,,,,,,
egg curry,Special Fried Rice,,,,,,,
chicken,egg curry, ,coke,Special Fried Rice,Curry,prawn,Lamb,
Plain Rice, ,coke,Special Fried Rice,Lamb,,,,
egg curry, ,coke,Special Fried Rice,Curry,N.veg Biryani,Lamb,,
chicken,egg curry, ,coke,prawn,,,,
chicken,egg curry,prawn,Lamb,,,,,
chicken,Special Fried Rice,Lamb,,,,,,
Plain Rice,chicken,coke,Special Fried Rice,Curry,N.veg Biryani,,,
Plain Rice,egg curry, ,coke,Special Fried Rice,Curry,N.veg Biryani,prawn,
egg curry,prawn,Lamb,,,,,,
Plain Rice, ,,,,,,,
Plain Rice,chicken,egg curry, ,Curry,Lamb,,,
chicken,coke,prawn,,,,,,
Plain Rice,coke,Special Fried Rice,Curry,prawn,,,,
Plain Rice,egg curry,coke,Curry,N.veg Biryani,prawn,,,
Plain Rice, ,coke,Curry,prawn,,,,
Plain Rice,egg curry, ,N.veg Biryani,Lamb,,,,
Plain Rice,chicken,Special Fried Rice,Curry,N.veg Biryani,prawn,Lamb,,
Plain Rice,chicken, ,Special Fried Rice,Lamb,,,,
Plain Rice,egg curry, ,coke,Special Fried Rice,prawn,Lamb,,
 ,coke,Curry,N.veg Biryani,Lamb,,,,
chicken,Special Fried Rice,,,,,,,
egg curry, ,coke,Special Fried Rice,Curry,N.veg Biryani,prawn,,
Plain Rice,chicken,egg curry,coke,Special Fried Rice,prawn,Lamb,,
egg curry,Special Fried Rice,N.veg Biryani,Lamb,,,,,
chicken,Lamb,,,,,,,
egg curry,coke,Special Fried Rice,prawn,,,,,
Curry,Lamb,,,,,,,
Plain Rice,chicken,Special Fried Rice,Curry,Lamb,,,,
 ,coke,Special Fried Rice,Curry,prawn,,,,
egg curry, ,Special Fried Rice,N.veg Biryani,Lamb,,,,
Plain Rice,chicken,egg curry,coke,Curry,prawn,,,
Plain Rice,coke,Curry,N.veg Biryani,Lamb,,,,
Plain Rice,chicken, ,coke,Curry,,,,
 ,Special Fried Rice,Curry,N.veg Biryani,,,,,
Plain Rice,chicken,egg curry,Curry,N.veg Biryani,,,,
chicken, ,Special Fried Rice,Curry,N.veg Biryani,,,,
egg curry, ,coke,Special Fried Rice,Lamb,,,,
 ,coke,Curry,N.veg Biryani,prawn,,,,
chicken,egg curry,Lamb,,,,,,
Plain Rice,chicken,coke,Special Fried Rice,N.veg Biryani,prawn,Lamb,,
chicken,egg curry, ,coke,,,,,
Plain Rice, ,Special Fried Rice,Curry,prawn,,,,
chicken,egg curry, ,,,,,,
Plain Rice,chicken,egg curry, ,Special Fried Rice,Lamb,,,
chicken,egg curry,Curry,N.veg Biryani,Lamb,,,,
egg curry,coke,Special Fried Rice,Curry,N.veg Biryani,prawn,,,
Plain Rice,chicken,egg curry,Curry,prawn,,,,
egg curry, ,Special Fried Rice,N.veg Biryani,prawn,,,,
Plain Rice,chicken,coke,,,,,,
Plain Rice, ,,,,,,,
 ,coke,Special Fried Rice,Curry,prawn,Lamb,,,
chicken,egg curry,,,,,,,
chicken,coke,Curry,N.veg Biryani,,,,,
Plain Rice,chicken,Special Fried Rice,N.veg Biryani,,,,,
chicken,egg curry, ,Curry,Lamb,,,,
chicken,egg curry,N.veg Biryani,prawn,Lamb,,,,
Plain Rice,egg curry,Curry,N.veg Biryani,prawn,Lamb,,,
Plain Rice,chicken,egg curry,coke,Curry,N.veg Biryani,Lamb,,
chicken,egg curry,Curry,,,,,,
egg curry, ,prawn,Lamb,,,,,
chicken, ,N.veg Biryani,prawn,,,,,
Plain Rice,egg curry,prawn,,,,,,
Plain Rice,egg curry,Special Fried Rice,Curry,N.veg Biryani,prawn,Lamb,,
Plain Rice,Curry,N.veg Biryani,Lamb,,,,,
 ,Lamb,,,,,,,
Plain Rice, ,coke,Special Fried Rice,N.veg Biryani,prawn,Lamb,,
chicken,egg curry, ,,,,,,
chicken,egg curry, ,Special Fried Rice,N.veg Biryani,prawn,Lamb,,
Plain Rice,egg curry, ,coke,Special Fried Rice,Curry,,,
N.veg Biryani,Lamb,,,,,,,
chicken,coke,Curry,,,,,,
Plain Rice,chicken,Curry,Lamb,,,,,
Plain Rice,Curry,N.veg Biryani,prawn,,,,,
Plain Rice,Special Fried Rice,N.veg Biryani,,,,,,
Plain Rice,chicken,egg curry, ,coke,Special Fried Rice,,,
Special Fried Rice,N.veg Biryani,,,,,,,
Curry,N.veg Biryani,prawn,,,,,,
chicken,coke,,,,,,,
chicken,egg curry, ,coke,Curry,Lamb,,,
chicken, ,N.veg Biryani,,,,,,
Plain Rice, ,Special Fried Rice,N.veg Biryani,prawn,Lamb,,,
Plain Rice,chicken, ,N.veg Biryani,Lamb,,,,
chicken,prawn,,,,,,,
 ,Special Fried Rice,Curry,N.veg Biryani,,,,,
Plain Rice,chicken,egg curry, ,N.veg Biryani,prawn,Lamb,,
Plain Rice,chicken, ,,,,,,
egg curry, ,N.veg Biryani,,,,,,
Plain Rice,chicken,prawn,,,,,,
coke,Special Fried Rice,prawn,,,,,,
coke,Special Fried Rice,N.veg Biryani,,,,,,
Plain Rice,chicken,Special Fried Rice,Curry,N.veg Biryani,prawn,,,
Plain Rice,chicken,coke,Special Fried Rice,Curry,N.veg Biryani,,,
chicken, ,coke,Special Fried Rice,prawn,,,,
 ,coke,Special Fried Rice,Curry,N.veg Biryani,,,,
Curry,N.veg Biryani,prawn,,,,,,
chicken,Curry,N.veg Biryani,,,,,,
Plain Rice,Special Fried Rice,prawn,,,,,,
Plain Rice,chicken,Special Fried Rice,Curry,N.veg Biryani,,,,
chicken,coke,Curry,prawn,,,,,
Plain Rice,chicken,egg curry, ,coke,N.veg Biryani,Lamb,,
Plain Rice,egg curry, ,coke,Curry,prawn,,,
Plain Rice,egg curry, ,coke,Special Fried Rice,Curry,,,
Plain Rice,chicken, ,Special Fried Rice,Curry,prawn,,,
chicken,egg curry, ,Curry,,,,,
Plain Rice,chicken, ,Curry,N.veg Biryani,,,,
coke,Curry,Lamb,,,,,,
 ,coke,Curry,prawn,,,,,
chicken, ,Special Fried Rice,N.veg Biryani,prawn,,,,
Plain Rice,egg curry,coke,N.veg Biryani,Lamb,,,,
Plain Rice, ,N.veg Biryani,,,,,,
Plain Rice,chicken,egg curry,coke,Curry,N.veg Biryani,prawn,Lamb,
Plain Rice,N.veg Biryani,,,,,,,
 ,coke,Special Fried Rice,Curry,,,,,
Plain Rice,egg curry, ,coke,Special Fried Rice,Lamb,,,
chicken, ,N.veg Biryani,prawn,,,,,
Plain Rice,chicken,egg curry, ,Special Fried Rice,N.veg Biryani,Lamb,,
Plain Rice,chicken,egg curry, ,coke,Special Fried Rice,Lamb,,
Plain Rice,chicken, ,Curry,Lamb,,,,
Plain Rice,Curry,N.veg Biryani,,,,,,
egg curry, ,coke,Curry,N.veg Biryani,prawn,Lamb,,
Plain Rice,egg curry,Special Fried Rice,Curry,N.veg Biryani,prawn,,,
chicken, ,coke,,,,,,
 ,coke,Special Fried Rice,,,,,,
Plain Rice,chicken,,,,,,,
chicken,egg curry, ,coke,N.veg Biryani,prawn,Lamb,,
chicken,N.veg Biryani,prawn,,,,,,
chicken,Special Fried Rice,N.veg Biryani,prawn,,,,,
coke,N.veg Biryani,prawn,,,,,,
Plain Rice,egg curry, ,N.veg Biryani,,,,,
chicken,egg curry, ,coke,prawn,,,,
 ,Special Fried Rice,,,,,,,
Plain Rice,chicken,egg curry,Special Fried Rice,Curry,prawn,,,
Plain Rice, ,prawn,,,,,,
egg curry, ,Special Fried Rice,N.veg Biryani,,,,,
chicken,egg curry, ,coke,Special Fried Rice,N.veg Biryani,Lamb,,
 ,Special Fried Rice,,,,,,,
egg curry, ,coke,Curry,,,,,
Plain Rice,chicken,egg curry, ,Special Fried Rice,N.veg Biryani,prawn,Lamb,
 ,coke,Special Fried Rice,N.veg Biryani,Lamb,,,,
chicken,egg curry, ,Curry,,,,,
chicken, ,Special Fried Rice,Curry,N.veg Biryani,prawn,,,
chicken, ,,,,,,,
Plain Rice,coke,prawn,Lamb,,,,,
egg curry,coke,Special Fried Rice,Curry,Lamb,,,,
Plain Rice,Special Fried Rice,Curry,,,,,,
chicken, ,coke,Special Fried Rice,N.veg Biryani,,,,
chicken, ,prawn,,,,,,
Plain Rice,chicken,egg curry,coke,,,,,
Plain Rice,chicken,egg curry, ,prawn,Lamb,,,
Plain Rice, ,N.veg Biryani,,,,,,
Plain Rice,chicken,egg curry,N.veg Biryani,prawn,,,,
Plain Rice, ,coke,Curry,N.veg Biryani,prawn,Lamb,,
egg curry,Special Fried Rice,Curry,N.veg Biryani,prawn,,,,
Plain Rice,chicken,egg curry, ,Special Fried Rice,Curry,N.veg Biryani,Lamb,
Plain Rice, ,coke,,,,,,
chicken, ,coke,N.veg Biryani,prawn,,,,
Plain Rice,Special Fried Rice,prawn,,,,,,
Plain Rice, ,coke,Curry,prawn,Lamb,,,
 ,Special Fried Rice,N.veg Biryani,,,,,,
coke,prawn,Lamb,,,,,,
Plain Rice,chicken,Special Fried Rice,,,,,,
Plain Rice,chicken,coke,Special Fried Rice,Curry,N.veg Biryani,prawn,,
Plain Rice,chicken,egg curry, ,coke,Special Fried Rice,N.veg Biryani,Lamb,
 ,Curry,prawn,,,,,,
Plain Rice,chicken, ,coke,Special Fried Rice,Lamb,,,
Plain Rice,chicken,egg curry,Special Fried Rice,Lamb,,,,
 ,N.veg Biryani,,,,,,,
chicken,egg curry,coke,Special Fried Rice,N.veg Biryani,,,,
Plain Rice,egg curry, ,coke,Special Fried Rice,,,,
chicken,egg curry,coke,Lamb,,,,,
chicken,egg curry, ,coke,prawn,Lamb,,,
coke,Lamb,,,,,,,
chicken,egg curry,Special Fried Rice,N.veg Biryani,prawn,Lamb,,,
 ,Curry,N.veg Biryani,prawn,,,,,
chicken,egg curry,Curry,prawn,Lamb,,,,
Plain Rice,coke,Curry,Lamb,,,,,
egg curry,Special Fried Rice,prawn,,,,,,
chicken,egg curry,Special Fried Rice,Curry,N.veg Biryani,Lamb,,,
chicken,coke,Curry,N.veg Biryani,prawn,,,,
Plain Rice,chicken,egg curry,,,,,,
chicken,egg curry, ,coke,Curry,N.veg Biryani,Lamb,,
chicken,egg curry,N.veg Biryani,prawn,Lamb,,,,
Plain Rice,chicken, ,prawn,Lamb,,,,
chicken,egg curry,Special Fried Rice,Curry,,,,,
egg curry,prawn,,,,,,,
chicken, ,coke,,,,,,
Plain Rice,N.veg Biryani,prawn,,,,,,
chicken,coke,Special Fried Rice,N.veg Biryani,prawn,,,,
coke,Special Fried Rice,Curry,N.veg Biryani,,,,,
chicken,egg curry, ,coke,Special Fried Rice,prawn,,,
chicken, ,coke,N.veg Biryani,prawn,,,,
Plain Rice,prawn,,,,,,,
 ,coke,,,,,,,
Plain Rice,coke,Special Fried Rice,N.veg Biryani,Lamb,,,,
Plain Rice,chicken,egg curry, ,coke,Special Fried Rice,Lamb,,
chicken,egg curry,Lamb,,,,,,
egg curry, ,coke,Curry,N.veg Biryani,prawn,,,
egg curry, ,coke,N.veg Biryani,,,,,
 ,Special Fried Rice,Lamb,,,,,,
chicken,egg curry, ,coke,Special Fried Rice,Curry,N.veg Biryani,,
Special Fried Rice,prawn,,,,,,,
coke,Curry,N.veg Biryani,prawn,,,,,
Plain Rice, ,Curry,N.veg Biryani,Lamb,,,,
Plain Rice,coke,Special Fried Rice,prawn,,,,,
Plain Rice,chicken,Curry,N.veg Biryani,,,,,
Plain Rice,egg curry, ,Special Fried Rice,prawn,,,,
chicken,egg curry, ,Special Fried Rice,N.veg Biryani,prawn,,,
Plain Rice,chicken,Lamb,,,,,,
egg curry, ,coke,Curry,N.veg Biryani,Lamb,,,
egg curry, ,coke,Curry,N.veg Biryani,prawn,,,
 ,Curry,N.veg Biryani,,,,,,
chicken, ,coke,Special Fried Rice,prawn,Lamb,,,
chicken,coke,Lamb,,,,,,
coke,N.veg Biryani,,,,,,,
Plain Rice,egg curry, ,N.veg Biryani,,,,,
chicken,egg curry,Special Fried Rice,,,,,,
egg curry, ,Curry,,,,,,
chicken, ,Special Fried Rice,N.veg Biryani,Lamb,,,,
Plain Rice,chicken,egg curry, ,Special Fried Rice,N.veg Biryani,Lamb,,
chicken,egg curry,coke,Special Fried Rice,Curry,N.veg Biryani,Lamb,,
Plain Rice,chicken,egg curry,coke,N.veg Biryani,prawn,Lamb,,
Plain Rice,chicken,prawn,,,,,,
coke,N.veg Biryani,,,,,,,
 ,Special Fried Rice,Curry,Lamb,,,,,
chicken, ,coke,prawn,Lamb,,,,
Plain Rice,coke,Special Fried Rice,prawn,,,,,
Plain Rice,egg curry,coke,Special Fried Rice,Curry,Lamb,,,
egg curry,Special Fried Rice,,,,,,,
chicken, ,Special Fried Rice,Curry,,,,,
 ,coke,Special Fried Rice,Curry,prawn,,,,
Plain Rice, ,Special Fried Rice,Curry,N.veg Biryani,,,,
Plain Rice,coke,Curry,N.veg Biryani,Lamb,,,,
chicken, ,Special Fried Rice,Lamb,,,,,
coke,Lamb,,,,,,,
Plain Rice,chicken,coke,Special Fried Rice,prawn,,,,
chicken,egg curry,coke,Curry,N.veg Biryani,prawn,,,
Plain Rice, ,coke,Special Fried Rice,Curry,N.veg Biryani,,,
Plain Rice,chicken,egg curry,coke,Special Fried Rice,Lamb,,,
egg curry, ,coke,Special Fried Rice,Curry,N.veg Biryani,prawn,Lamb,
egg curry,coke,N.veg Biryani,prawn,,,,,
chicken,coke,Special Fried Rice,Curry,N.veg Biryani,,,,
Plain Rice,chicken,egg curry, ,Special Fried Rice,prawn,Lamb,,
Special Fried Rice,Curry,N.veg Biryani,prawn,Lamb,,,,
chicken, ,Curry,Lamb,,,,,
Plain Rice,chicken,egg curry,coke,Curry,prawn,,,
chicken, ,coke,Special Fried Rice,prawn,Lamb,,,
Plain Rice,coke,Curry,N.veg Biryani,prawn,,,,
Plain Rice,chicken,egg curry, ,Lamb,,,,
Plain Rice,Special Fried Rice,N.veg Biryani,Lamb,,,,,
chicken,Curry,,,,,,,
chicken,Lamb,,,,,,,
Plain Rice,chicken,egg curry,coke,prawn,Lamb,,,
Plain Rice,chicken, ,Special Fried Rice,Curry,N.veg Biryani,Lamb,,
chicken,coke,Special Fried Rice,Curry,prawn,,,,
chicken, ,coke,Curry,N.veg Biryani,prawn,Lamb,,
Plain Rice, ,coke,Special Fried Rice,N.veg Biryani,prawn,,,
egg curry,Special Fried Rice,,,,,,,
chicken,Curry,,,,,,,
 ,Curry,,,,,,,
chicken,egg curry, ,coke,Curry,N.veg Biryani,Lamb,,
Plain Rice,egg curry,coke,Special Fried Rice,Curry,N.veg Biryani,prawn,,
egg curry, ,coke,Special Fried Rice,Curry,,,,
Plain Rice, ,N.veg Biryani,,,,,,
Plain Rice,coke,,,,,,,
Plain Rice, ,N.veg Biryani,Lamb,,,,,
Plain Rice,chicken,egg curry, ,Special Fried Rice,Curry,Lamb,,
egg curry, ,,,,,,,
